Location,Name,count
"Ryer Ave,valentine Ave & E 183 St",Slattery Playground,37
"E 164 St, Teasdale Pl, E/o Boston Rd",Charlton Garden,4
"Barker Ave, Britton St & Olinville Ave",Zimmerman Playground,28
Van Cortlandt Park South & Gouverneur Avenue,Classic Playground,3
"W 239 ST, VAN CORTLANDT EAST",Woodlawn Playground,19
W 240 ST & BROADWAY,Southwest Playground,23
"JEROME AVE, EAST GUNHILL RD",Sachkerah Woods Playground,22
"White Plains Rd, Unionport Rd, Mead St",Van Nest Park,24
"Arthur Ave, E 188 St, Hughes Ave",Ciccarone Park,51
"Brook Ave, St Anns Ave, E 141 St",People's Park,17
"RESERVOIR OVAL EAST, HOLT PL",P/g W/ Mini Pool & Courts,15
RESERVOIR OVAL WEST & 208 ST,Williamsbridge Oval,16
RESERVOIR OVAL WEST,Williamsbridge Oval,17
"E 146 St, Walton Ave, Grand Concourse",Garrison Playground,109
"E 181, E 182 Sts, Crotona & Belmont Aves",Belmont Playground,36
"Cedar Ave, W 179 St, Sedgwick Ave",Cedar Playground,27
"E 163 St, Cauldwell Ave, E 161 St, Eagle Ave",Cauldwell Playground,6
"Hunts Point Rd, Spofford Ave, Faile St",Hunts Point Playground,16
S/e Corner Macombs Pl & Gobel Rd,Goble Playground,27
"Morris To College Aves, E 166-e 167 Sts",Mott Playground,16
"Rev James Polite Ave, Intervale Ave bet. Home St and 167th St",Rev J Polite Pg & Stebbins Playground,12
LAFAYETTE AVE BET MORRISON & BOYNTON AVE,Soundview Park,4
METCALF & LAFAYETTE AVES,Soundview Park,0
"Bradford, Edison, La Salle, Waterbury Aves",Bufano Playground,13
Wilkinson & Mayflower Aves,Colucci Playground,2
"E 179 St, Noble & Bronx River Aves",Noble Playground,8
"Noble, Gleason, Rosedale, Watson Aves",Watson Gleason Playground,27
"E 135 St, Alexander & Willis Aves",Lozada Playground,16
"Bruckner Blvd, Cypress Ave, E 133 & E 134 Sts",Playground One Thirty-four,49
"White Plains Rd, E 226 St, Barnes Ave, E 225 St",Rienzi Playground,26
"E 157 St, 3 Ave, E 158 St, Brook Ave",Flynn Playground,13
Along Bronx R From Bruckner Blvd To Cross Bx Exwy,Starlight Park,21
Boone Ave & West Farms Rd,Daniel Boone Playground,10
"Edward L Grant Hwy, Plimpton Ave",Plimpton Playground,18
"Boscobel Pl, University Ave, W 171 St",Bridge Playground,16
"N/s Cross Bronx Exwy, Jerome Ave, E 174 St",Jenny  Jerome Playground,19
"Cross Bronx Exwy, Jerome Ave, E 174 St",Jerome Playground South,23
"N/s Cross Bronx Exwy, Clay & Topping Aves",Peace Park,24
"E 176 St, Crotona Ave, Prospect Ave",Admiral Farragut Playground,14
"Clinton Ave, E 176 St, Prospect Ave",Prospect Playground,20
"White Plains Rd, Mcgraw, Virginia Aves",Virginia Playground,49
"N/s Cross Bronx Exwy, Havemeyer, Watson Aves",Havemeyer Playground,22
"Major Deegan Exwy, Bailey, Sedgwick Aves",Fordham Landing Playground,7
"W 234 St, Bailey Ave, W 238 St",Bailey Playground,20
"Olmstead, Turnbull, Castle Hill, Lafayette Aves",P. O. Serrano Playground,14
"W 254 St, Riverdale & Mosholu Aves",Vinmont Veteran Park,16
W 169 ST & MERRIAM AVE,Merriam Playground  (upper),12
"MERRIAM & OGDEN AVES, W 168 ST, UNIVERSITY",Merriam Playground. (lower),16
"Courtlandt Ave, E 153-e 156 Sts",Mayaro Playground,24
"Morris Ave, E 148 St, College Ave, E 145 St",Patterson Playground,16
Adee & Tenbroeck Aves,Eastchester Playground,6
Mace Ave & Williamsbridge Rd,Mazzei Playground,11
"Undercliff Ave, Cross Bronx Exwy",Sedgwick Playground,11
"E 174 St, Bronx River Ave",174th St Playground,5
"St Raymond Ave, Purdy St, Odell St",Caserta Playground,42
"Holland Ave, Magenta St, Cruger Ave",Gun Hill Playground,25
"Arnow Ave, Olinville Ave",Parkside Playground,37
"Morris Park, Tomlinson, Van Nest & Haight Aves",Loreto Playground,20
"Dawson St, Rogers Pl, Rev. James A Polite",Dawson Playground,29
Schieffelin Ave & E 229 St,Edenwald Playground,5
"E 166 St, Union Ave, Tinton Ave",Basil Behagen Playground,11
"W 166 St, Nelson Ave, Wododycrest Ave",Nelson Playground,13
"E 215 St, Barnes Ave, E 216 St",Agnes Haywood Playground,27
Tratman & St Peters Aves,The Pearly Gates,31
"Douglas Ave, W 235 & W 236 Sts",Spuyten Duyvil Playground,3
"Allerton Ave, Stedman Pl, Bouck Ave, Throop Ave",Allerton Playground,5
"Park Ave, E 188 St, Webster Ave",Webster Playground,37
"Kingsbridge Rd, Bailey Ave, Heath Ave",Riverbend Playground,15
"Theriot Ave, Guerlain St, Taylor Ave",Taylor Playground,18
"Castle Hill Ave, Parker St",Castle Hill Playground,25
"Morris Park Ave, Muliner Ave, Matthews Ave",Matthews Muliner Playground,15
"Leggett Ave, Kelly St, Ave St John",Playground Fifty-two,23
N/s Of E 135 St Bet St Anns & Cypress Aves,Millbrook Playground,49
"Phillips Ave, E 177 St",Bruckner Playground/P.S. 183,12
"E 161 St, Trinity Ave, E 163 St, Cauldwell Ave",Dunbar Playground,4
"W 237 St, Independence Ave",Riverdale Playground,1
GUN HILL/EASTCHEST RDS/O'NEIL,Angelo Campanero Playground,11
"E 239 St, Matilda Ave",Wakefield Playground,21
"Fox St, E 167 St, Tiffany St",Tiffany Playground,40
"Crawford Ave, Baychester Ave",Stars & Stripes Playground,5
"Forest Ave, E 156 St",Captain Rivera Playground,63
N/s Bruckner Exwy At Close & Colgate Aves,Colgate Close,19
ELY & BURKE AVES,Haffen Park,0
"3 Ave, E 144 To E 145 Sts",Clark Playground,19
W 235 ST & DOUGLAS AVE,Seton Park,3
Marble Hill Ave Bet W 228 & W 230 Sts,Marble Hill Playground,70
"Randall Ave, Castle Hill Ave, Olmstead Ave",Randall Playground,7
"Thieriot Ave, Story Ave, Taylor Ave",Story Playground,15
"Pugsley Ave, Blackrock Ave, Watson Ave",Blackrock Playground,15
"E 168 St, Park Ave, Washington Ave",Morgan Playground,69
"E 149 St, Concord Ave, Jackson Ave",Pontiac Playground,57
"Pugsley, Haviland, Watson Aves",Haviland Playground,27
"E 153 St, Courtlandt Ave, E 151 St, Morris Ave",Governor Smith Playground,27
"E 165 St, Stebbins Ave, Roger Pl",Stebbins Park,18
"Rosewood & Magenta Sts, Olinville Ave",Magenta Playground,40
"Tinton Ave, E 156 St",Abigail Playground,71
"E 139 St, E 140 St, Willis & Alexander Aves",Willis Playground,14
"Park, Clay, Teller Aves, E 164 St",Arcilla Playground,11
"Lafayette, Bolton, Underhill Aves",Space Time Playground,8
"3 Ave, St Pauls Pl, Washington Ave",Gouverneur Playground,8
"W 238 St, Greystone Ave, W 242 St",Mclaughlin Playground,25
"E 147 St, Jackson Ave, E 144 St, St Marys Pk",I Am Park,53
"Mace, Lodovick & Gunther Aves",Burns Playground,3
"Union Ave, E 150 St, Tinton Ave & E 152 St",Fountain Of Youth Playground,64
"E 158 St, Eagle Ave, Cauldwell Ave, E 156 St",Grove Hill Playground,9
"E 139 & E 140 Sts, Brook & Willis Aves",Saw Mill Playground,17
"Home St, Boston Road, Jackson Ave",Youth Village,9
"E/s Grand Ave, S/o W 181 St",Grand Playground,40
"S/e Corner Fox St, E 156 St",Fox Playground,17
E/s City Island Avenue At Centre St,Ambrosini Field,11
E 177 St & Walton Ave,Mount Hope Playground,43
Anthony Ave & Prospect Pl,Cleopatra Playground,28
Bolton Ave Bet O'brien & Cornell Aves,Harding Park,2
Macombs Road And W 176 Street,Galileo Park Park,40
Vyse & Daly Aves Bet W 179-180 Streets,Vidalia Park,28
Creston And Burnside Aves.,Mt. Hope Garden,47
E. 183 St B/w Washington & Park,Washington Park,20
"Bathgate, Washington Aves, E. 175 St",Stop & Go Playground,46
"Billingsley Terr, Phelan Pl, Sedgwick Ave",Beanstalk Playground,31
"Ogden Av, Plimpton Av, W 170 St",Ogden Plimpton Playground,53
"E.181st St, Walton Ave,jerome Ave",Walton Park,40
"Morris Ave, E.181st St,creston Ave",Morris Garden,42
Nelson Avenue Bet Featherbed Lane And W174 Street,Half-nelson Playground,16
Claremont Parkway Bet Park And Washington Aves,Little Claremont Park,6
W 180st & Davidson Ave,Davidson Playground,38
"Park Ave, 183rd St, Webster Ave, 184 St",Thorpe Playground,17
Main and Plymouth streets,Brooklyn Bridge Park,37
"South of the Pavilion, on the north side of the 16th Street Traverse, from Union Square East to Union Square West",Union Square Park,588
E. 157th St & River Ave,River Avenue Playground,12
Between E 169 St. and E. 170 St. and between Sheridan Avenue and Grant Avenue,Grant Park,7
164th Street btwn. Walton Avenue & Grand Concourse,Joyce Kilmer Playground,11
Chambers St. between Greenwich St. and West St.,Washington Market Park,185
"West Street, between Kent Street & Greenpoint Avenue",Transmitter Park,30
"43 Snyder Ave, Brooklyn, NY 11226",PS 6K,52
"80 Underhill Avenue, Brooklyn, NY 11238",PS 9K,91
"180 Chauncey Street, Brooklyn, NY 11233",PS 21K,13
"75 Meserole Avenue, Brooklyn, NY 11222",PS 31K,92
"131 Norman Avenue, Brooklyn, NY 11222",PS 34K,85
"63-02 9th Avenue, Brooklyn, NY 11219",PS 69K,12
"31 New York Avenue, Brooklyn, NY 11216",PS 93K,54
"124 Monitor Street, Brooklyn, NY 11222",PS 110K,21
"East 92nd St. & Ave. M, Brooklyn, NY 11236",PS 115K,25
"330 Rugby Road, Brooklyn, NY 11226",PS 139K,43
"4211 14th Avenue, Brooklyn, NY 11219",PS 164K,3
"825 4th Avenue, Brooklyn, NY 11232",PS 172K,0
"590 Sheffield Avenue, Brooklyn, NY 11207",PS 190K,13
"4801 Avenue D, Brooklyn, NY 11203",PS 208K,12
"4812 9th Avenue, Brooklyn, NY 11220",IS 220K,8
"905 Winthrop Street, Brooklyn, NY 11203",IS 232K,34
"5909 Beverly Road, Brooklyn, NY 11203",IS 285K,14
"330 59 Street, Brooklyn, NY 11220",PS314/503K,294
"180 7th Avenue, Brooklyn, NY 11215",PS 321K,318
"330 Alabama Avenue, Brooklyn, NY 11207",PS 328K,14
"130 Rochester Avenue, Brooklyn, NY 11213",PS 335K,19
"104 Sutter Avenue, Brooklyn, NY 11212",IS 392K,21
"35 Snyder Avenue, Brooklyn , NY 11226",PS 369 Annex,53
"3703  10th Avenue, NYC, NY  10034",PS 5M,16
"4360 Broadway, NYC, NY 10033",PS 48M,73
"201 Warren Street, NYC, NY 10282",IS/PS 89M,100
"21 Jumel Place, NYC, NY 10032",IS 90M,37
"240 West 113th Street, NYC, NY 10026",PS 241M,63
"185 Wadsworth Avenue, NYC, NY 10033",PS 132M,66
"370 West 120 Street, NYC, NY 10035",PS 242M,9
"93 Nagle Avenue, NYC, NY 10040",PS 152M,42
"349 Cabrini Blvd., NYC, NY 10040",PS/IS 187M,17
"4124 9th Ave, NYC, NY 10034",PS 18M,9
"10-45 Nameoke Street, Queens, NY 11691",MS 53Q,16
"72-50 Grand Ave, Queens, NY 11378",PS 58Q,21
"91-02 88th Avenue, Queens, NY 11421",PS 60Q,29
"70-02 54th Avenue, Queens, NY 11378",IS 73Q,24
"2 Russell Place, Queens, NY 11375",PS 101Q,22
"101-33 124th Street, Queens, NY 11419",PS 161Q,37
"125-20 Sutphin Blvd., Queens, NY 11436",PS 223Q,9
"84-40 101st Street, Queens, NY 11418",PS 254Q,17
"555 Page Ave., Staten Island, NY 10307",PS 6R,3
"50 Jefferson Street, Staten Island, NY 10304",PS 11R,10
"1860 Forest Avenue, Staten Island, NY 10303",PS 22R,16
"4108 Victory Boulevard, Staten Island, NY 10314",PS 26R,7
"1581 Victory Boulevard, Staten Island, NY 10314",PS 29R,1
"32 Elverton Avenue,  Staten Island, NY 10308",PS 32R,1
"528 Academy Street, Staten Island, NY 10307",IS 34R,11
"255 Ionia Avenue, Staten Island, NY 10312",PS 36R,1
"80 Maple Parkway, Staten Island, NY 10303",PS 44R,1
"1060 Willowbrook Road, Staten Island, NY 10314",PS 54R,1
"250 Kramer Avenue, Staten Island, NY 10309",PS 56R,0
"77 Marsh Avenue, Staten Island, NY 10314",PS 58R,1
"55 Merrill Avenue, Staten Island, NY 10314",PS 60R,19
"144 Keating Place, Staten Island NY 10314",PS 69R,0
"455 Huguenot Ave., Staten Island, NY 10312",IS 75R,0
"15 Fairfield Street,Staten Island, NY10308",PS 37R,0
"2100 La Fontaine Avenue, Bronx, NY 10457",PS 3X,29
"2195 Andrews Avenue, Bronx, NY 10453",PS 15X,16
"1001 Jennings Street, Bronx, NY 10460",PS 66X,5
"2225 Webster Ave. Bronx, NY 10457",IS 391X,27
"1919 Prospect Avenue, Bronx, NY 10457",PS 211X,21
"2365 Waterbury Ave, Bronx, NY 10462",PS/IS 194X,17
"2100 Walton Avenue, Bronx, NY 10463",PS 279X,46
"40 West Tremont Ave., Bronx, NY 10458",PS 306X,56
"25 W. 195th Street, Bronx, NY 10468",PS 340X,36
"2280 Aqueduct Ave., Bronx, NY 10468",PS 246X,23
"655 Parkside Avenue, Brooklyn, NY 11226",IS 2K,27
"6015 18 Avenue,  Brooklyn, NY  11204",PS 48K,83
"700 Cortelyou Road, Brooklyn, NY 11218",IS 62K,33
"845 East 96th St, Brooklyn, NY  11236",PS/IS 66K,5
"5010 6th Avenue, Brooklyn, NY 11220",PS 94K,2
"1855 Stillwell Avenue, Brooklyn, NY 11223",PS 97K,14
"1120 East 10th Street, Brooklyn, NY 11230",PS 99K,24
"2360 Benson Avenue, Brooklyn, NY 11214",PS 101K,4
"211 72nd Street, Brooklyn, NY 11209",PS 102K,6
"9115 5th Avenue, Brooklyn, NY 11209",PS 104K,7
"7115 15th Avenue, Brooklyn, NY 11228",PS 112K,9
"3829 Avenue K, Brooklyn, NY 11210",PS 119K,10
"5301 20th Avenue, Brooklyn, NY 11204",PS 121K,7
"4305 Fort Hamilton Pkwy., Brooklyn, NY 11219",PS 131K,7
"725 East 23 Street, Brooklyn, NY 11210",PS 152K,15
"1970 Homecrest Avenue, Brooklyn, NY 11229",PS 153K,39
"330 Crown Street, Brooklyn, NY 11225",PS 161K,31
"1025 Eastern Parkway, Brooklyn, NY 11213",PS 167K,44
"1225 Bay Ridge Avenue, Brooklyn, NY",PS 176K,2
"5601 16th Avenue, Brooklyn, NY 11204",PS 180K,0
"1023 New York Avenue, Brooklyn, NY",PS 181K,37
"76 Riverdale Avenue, Brooklyn, NY  11212",PS 183K,22
"8601 Ridge Blvd., Brooklyn, NY 11209",PS 185K,240
"7601 19th Avenue, Brooklyn, NY 11214",PS 186K,1
"2515 Avenue L, Brooklyn, NY 11210",PS 193K,6
"1599 E 22 St,  Brooklyn, NY  11210",PS 197K,10
"4105 Farragut Road, Brooklun, NY 11210",PS 198K,10
"1100 Elm Avenue, Brooklyn, NY 11230",PS 199K,24
"5101 Avenue M, Brooklyn, NY  11234",PS 203K,14
"8101 15th Avenue, Brooklyn, NY 11228",PS 204K,0
"6701 20th Avenue, Brooklyn, NY 11204",PS 205K,102
"4011 Fillmore Avenue, Brooklyn, NY 11234",PS 207K,26
"2609 East 7th Street, Brooklyn, NY 11235",PS 209K,14
"188 Rochester Avenue, Brooklyn, NY 11213",IS 394K,28
"415 AVE S, Brooklyn, NY  11223",PS 215K,22
"1100 Newkirk Avenue, Brooklyn, NY 11230",PS 217K,37
"791 Empire Blvd., Brooklyn, NY 11213",PS 221K,25
"3301 Quentin Road, Brooklyn, NY 11234",PS 222K,10
"6006 23rd Avenue, Brooklyn, NY 11204",PS 226K,11
"6500 16th Avenue, Brooklyn, NY 11204",IS 227K,8
"1400 Benson Avenue, Brooklyn, NY 11228",PS  229K,42
"9301 Avenue B, Brooklyn, NY 11203",PS 233K,13
"1875 East 17th Street, Brooklyn, NY 11229",IS 234K,3
"525 Lenox Road, Brooklyn, NY 11203",PS 235K,14
"6302 Avenue U, Brooklyn, NY 11234",PS 236K,11
"1633 East 8th Street, Brooklyn, NY 11223",PS 238K,38
"1580 Dean St, Brooklyn, NY  11213",PS 243K,13
"5400 Tilden Avenue, Brooklyn, NY 11203",PS 244K,11
"7000 21st Avenue, Brooklyn, NY 11204",PS 247K,20
"18 Marlborough Road, Brooklyn, NY 11226",PS 249K,21
"1084 Lenox Road, Brooklyn, NY 11212",IS 252K,18
"1801 Avenue Y, Brooklyn, NY 11235",PS 254K,33
"231 Palmetto Street, Brooklyn, NY 11221",IS 291K,59
"88 Woodbine Street, Brooklyn, NY 11221",PS 299K,13
"46 McKeever Pl., Brooklyn, NY 11225",PS 375K,26
"194 Harmon Street, Brooklyn, NY 11237",PS 376K,58
"1300 Greene Avenue, Brooklyn, NY 11237",IS 383K,61
"242 Cooper Street, Brooklyn, NY 11207",PS 384K,13
"790 East New York Ave., Brooklyn, NY 11203",MS 587K,22
"60 East 94th Street, Brooklyn, NY 11212",PS 398K,31
"2707 Albermarle Road, Brooklyn, NY 11226",PS 399K,57
"1171 65th Street, Brooklyn 11219",IS 187K,5
220 West 121 Street,PS 76M,63
306 Fort Washington Ave,PS 173M,63
"4600 Broadway,  NYC, NY 10040",IS 218M,42
"350 Grand Street, NYC, NY 10002",Seward Park Educational Campus,282
"50-40 Jacobus Street, Queens, NY 11373",IS 5Q,3
"98-02 Roosevelt Avenue, Queens, NY 11368",PS 19Q,60
"141-11 Holly Avenue, Queens, NY 11355",PS 24Q,79
"34-65 192nd Street, Queens, NY 11358",IS 25Q,16
"91-37 222 Street, Queens, NY 11428",PS 33Q,5
"191-02 90th Avenue, Queens, NY 11423",PS 35Q,10
"187-01 Foch Blvd., Queens, NY 11412",PS 36Q,14
"126-28 150th Street, Queens, NY 11436",PS 45Q,10
"143-26 101st Avenue, Queens, NY 11435",PS 50Q,20
"87-45 117 Street, Queens, NY 11418",PS 51Q,33
"178-37 146 Terrace, Queens, NY 11434",PS 52Q,7
"98-50 50th Ave., Queens, NY",IS 61Q,14
"97-25 108 Street, Queens, NY 11419",PS 62Q,11
"85-11 102 Street, Queens, NY 11418",PS 66Q,16
"77-02 37 Avenue, Queens, NY",PS 69Q,67
"147-27 15th Drive, Queens, NY 11357",PS 79Q,35
"85-28 Britton Avenue, Queens, NY 11373",PS 89Q,90
"86-50 109 Street, Queens, NY 11418",PS 90Q,90
"68-10 Central Avenue, Queens, NY 11385",PS 91Q,20
"130-01 Rockaway Blvd., Queens, NY 11420",PS 96Q,21
"40-20 235 St, Queens, NY 11363",PS 98Q,1
"167-02 45th Avenue, Queens, NY 11358",PS 107Q,4
"108-10 109 Ave, Queens, NY 11420",PS 108Q,8
"87-21 79th Avenue, Queens, NY 11385",PS 113Q,9
"134-01 Cronston Avenue, Queens, NY 11694",PS 114Q,0
"107-25 Wren Place, Queens, NY 11433",PS 116Q,13
"85-15 143rd Street, Queens, NY 11435",PS 117Q,0
"126-10 109th Avenue, Queens, NY 11420",PS 121Q,0
"21-21 Ditmars Blvd., Queens, NY 11105",PS 122Q,8
"145-01 119th Avenue, Queens, NY 11436",PS 123Q,3
"129-15 150th Avenue, Queens, NY 11420",PS 124Q,2
"128-02 7th Avenue, Queens, NY 11356",PS 129Q,0
"172 Street & 84th Ave., Queens, NY 11432",PS 131Q,48
"93-06 63rd Drive, Queens, NY 11374",PS139Q,57
"93-02 69 Avenue, Queens, NY 11375",PS 144Q,16
"33-34 80th Street, Queens, NY 11372",IS 145Q,29
"98-01 159th Avenue, Queens, NY 11414",PS 146Q,2
"40-01 43 Ave, Queens,NY 11104",PS 150Q,65
"33-52 62nd Street, Queens, NY 11377",PS 152Q,17
"60-02 60 Lane, Queens, NY 11378",PS 153Q,27
"130-02 115th Avenue, Queens, NY 11420",PS 155Q,9
"205-01 33rd Avenue, Queens, NY 11361",PS 159Q,0
"109-59 Inwood Street, Queens, NY 11435",PS 160Q,7
"56-37 188 Street, Queens, NY  11367",PS 177Q,25
"39-20 48th Avenue, Queens, NY 11104",PS 199Q,30
"93-11 101 Avenue, Queens, NY 11416",IS 210Q,40
"88-15 182nd Street, Queens, NY 11423",IS 238Q,18
"69-26 65th Drive, Queens, NY 11369",PS 128Q,3
"97-02 175 Street, Queens, NY  11433",PS 268Q,22
"57-12 94 Street , Queens, NY  11373",PS 721Q,37
"976 Seneca Avenue, Queens, NY 11385",IS 77Q,48
"80 South Goff Avenue, Staten Island, NY 10309",PS 3R,6
"200 Nedra Place, Staten Island, NY",PS 4R,6
"168 Hooker Place, Staten Island, NY 10302",PS 21R,9
"200 Wardwell Ave., Staten Island, NY 10314",PS 30R,0
"216 Clawson Street, Staten Island, NY",PS 41R,23
"380 Genesse Avenue, Staten Island, NY 10312",IS 42R,0
"140 Palma Drive, Staten Island, NY 10304",PS 57R,6
"445 Castleton Avenue, Staten Island, NY 10301",IS 61R,6
"033 Ferndale Avenue, Staten Island, NY 10314",IS 72R,3
"3201 Kingsbridge Avenue, Bronx, NY 10463",PS 7X,66
"1070 Castle Hill Ave., Bronx, NY 10472",PS 36X,26
"2502 Lorillard Place, Bronx, NY 10458",IS 45X,122
"1794 E. 172nd Street, Bronx, NY 10472",PS 47X,43
"1425 Walton Ave., Bronx, NY 10452",PS 64X,27
"4011 Monticello Ave, Bronx, NY 10466",PS 68X,32
"730 Bryant Ave, Bronx, NY 10474",IS 201X/MS 424,14
"900 Adee Ave., Bronx, NY 10469",PS 76X,22
"1250 Ward Avenue, Bronx, NY 10472",PS 195X,49
"1400 Needham Ave., Bronx, NY 10469",PS 78X,14
"1935 Bussing Ave., Bronx, NY 10466",PS 87X,3
"2200 Aqueduct Ave., Bronx, NY 10453",PS  91X,25
"1535 Story Avenue, Bronx, NY",PS 93X,13
"1375 Mace Avenue, Bronx, NY 10469",PS 97X,9
"4125 Carpenter Avenue, Bronx, NY 10466",PS 103X,18
"725 Brady Ave., Bronx, NY 10462",PS 105X,29
"1166 Neill Ave., Bronx, NY 10461",PS 108X,18
"3740 Baychester Ave., Bronx,  NY 10466",PS 111X,6
"260 W. Kingsbridge Road, Bronx, NY 10463",PS 310X,18
"1025 Morrison Avenue, Bronx, NY 10472",IS 123X,31
"750 Prospect Avenue, Bronx, NY 10455",PS 130X,28
"2441 Wallace Avenue, Bronx, NY 10467",IS 135X,39
"2060 Lafayette Ave., Bronx, NY 10473",PS 138X,8
"968 Cauldwell Avenue, Bronx, NY 10456",PS 146X,5
"1031 59 St, Brooklyn, NY 11219",PS 105K,19
"109-15, 98th Street, Queens, NY 11417",MS 137Q,19
"2424 Jerome Ave., Bronx, NY 10468",PS 33X,50
"4305 7th Avenue, Brooklyn, NY 11232",PS 169K,2
"135-21 241 Street, Queens, NY 11422",PS 38Q,11
"50-05 31st Avenue, Queens, NY 11377",PS 151Q,4
"4715 18th Avenue, Brooklyn, NY 11204",PS 192K,8
"225 Cleveland Street, Staten Island, NY 10308",IS 24R,10
"2951 Dewey Avenue, Bronx, NY 10465",PS 72X,29
"750 Concourse Village, Bronx, NY 10451",PS 385X,8
"1220 Gerard Avenue, Bronx, NY 10452",IS 218X,66
"30 Netick Street, Staten Island, NY 10306",PS 23R,5
At the corner of Cleveland and Mansion Avenues,Seaside Wildlife Nature Park,14
Boardwalk between Beach 29th and Beach 30th Streets,Beach 30th Street Playground,1
Kent Ave. between N. 9 St. and N. 12 St.,Bushwick Inlet Park,33
GERRITSEN AVE & SEBA AVE,Seba Playground,0
120th Avenue and 238th Street,Laurelton West Playground,1
Pier 1 - at Old Fulton Street and Furman Street,Pier 1 Playground,15
Pier 5 - at Joralemon Street,Pier 5 Playground,12
Pier 6 - between Atlantic Avenue and Joralemon Street,Waterlab,12
Pier 6 - at Atlantic Avenue and Furman Street,Swing Valley,12
Pier 6 - between Atlantic Avenue and Joralemon Street,Sandbox Village,12
Pier 2,Pier 2 Swings,12
Pier 6 - between Atlantic Avenue and Joralemon Street,Marsh Garden,12
