Location,Name,count
BROADWAY & DYCKMAN ST,Anne Loftus Playground,50
"E Houston, Stanton, Sheriff, Pitt Sts",Hamilton Fish Park,84
W 167 ST & EDGECOMBE AVE,Sunken Playground,27
W 180 ST & AMSTERDAM AVE,Quisqueya Playground,40
W 189 ST &  AMSTERDAM AVE,Wallenberg Playground,24
W 173 ST BY POOL-MODULAR EQUIPMENT),Cpf Playground,30
"FT GEORGE, ST NICHOLAS AVES",Ft George Playground,33
W 164 ST & EDGECOMBE AVE,Adventure Playground,31
"Hudson, Leroy, Clarkson Sts, 7 Ave",James J Walker Park,200
"Hamilton Pl, W 140 To W 141 Sts",Hamilton Place Playground,64
PAYSON & DYCKMAN STS,Payson Playground,36
"SEAMAN AVE BET ISHAM, W 207 ST",Emerson Playground,81
W 214 ST & SEAMAN AVE,Indian Road Playground,73
"Fdr Drive, E 76 To E 78 Sts",John Jay Park,34
E 114 ST & PLEASANT,Thomas Jefferson Park,2
E 111 ST & 1 AVE,Thomas Jefferson Park,2
E 25 ST & MADISON AVE,Madison Square Park,134
W 123 ST & MORNINGSIDE AVE,Morningside Park,34
W 117 ST & MORNINGSIDE AVE,Morningside Playground,41
MORNINGSIDE AVE & 113 ST,Morningside Park,41
MORNINGSIDE DR &  110 ST,Morningside Park,57
E 122 ST & MADISON AVE,Mt. Morris East,18
5 AVE NR MADISON & 124 ST,Marcus Garvey Memorial Park,20
124 ST BTWN 5 AVE AND MT MORRIS PARK WEST,Marcus Garvey Memorial Park,19
"Ave C, Fdr Dr, E 17 St",Murphy Park,3
"Cherry, Montgomery & Gouverneur Sts",Lillian D Wald Playground,44
"Columbia, Delancey & Willett Sts",Luther Gulick Playground,71
"W 17 St, 8 To 9 Aves",Dr Gertrude B Kelly Playground,36
"Henry St, Market St, E Broadway",Loeb Playground,244
"Thompson St, Spring To Prince Sts",Vesuvio Playground,308
RIVERSIDE BOULEVARD BETW. W 67 & W 68 STS,Little Engine Playground,17
W 74 ST,Classic Playground,14
W 76ST & RIVERSIDE DR,Neufeld Playground,16
W 83 ST & RIVERSIDE DR,River Run Playground,20
W 91 ST & RIVERSIDE DR,Hippo Playground,15
W 97 ST & RIVERSIDE DR,Dinosaur Playground,24
101ST ST. NEXT TO HENRY HUDSON PARKWAY,101st St. Soccer Field,11
W 109TH ST & RIVERSIDE DR,Skate Park,23
W 124 ST & RIVERSIDE DR,Claremont,94
"W 105-106 ST, RIVERSIDE DR",Tot Lot One Hundred Five,87
"W110-111ST, RIVERSIDE DR",Tot Lot One Hundred And Ten,50
W 112-113 ST/RIVERSIDE DR,Tot Lot  One Hundred And Twelve,36
W116ST-117ST/RIVERSIDE DR,Tot Lot  One Hundred And Sixteen,29
"RIVERSIDE PARK, 119TH ST",Riverside Park,10
W 142 ST & RIVERSIDE DR,Riverbank Playground,40
W 148 ST & RIVERSIDE DRIVE,Palisades Playground,46
"1 To 2 Aves, E 35 To E 36 Sts",St Vartan Park,9
W 133 ST & ST NICHOLAS AVE,St Nicholas,11
W 140 ST & ST NICHOLAS AVE,Arlington Edinboro Playground,46
W 129 ST & ST NICHOLAS TERR,St Nicholas,13
"1 Ave, E 67 To E 68 Sts",St Catherine's Park,240
EAST 84 ST & EAST END AVE,Catbird Playground,21
"Canal, Hester, Essex, Jefferson Sts",Seward Park,211
"Riverside Dr, Claremont Ave To W 122 St",Sakura Park,106
EAST 9 ST & AVE A,Tompkins Square Park,289
E 7 ST - 8 ST & AVE B,Tompkins Square Park,291
"South of 16 Street Traverse, on the west side of the park",Union Square,106
WASHINGTON SQ N/EAST OF  5 AVE,Washington Square Park,182
W 173 ST & FT WASHINGTONA VE,J Hood Wright Park,48
E HOUSTON TO STANTON STS,Houston St Playground,283
STANTON ST,Stanton St Courts,324
RIVINGTON ST,Rivington St Playground,331
BET DELANCEY & GRAND STS,The Lion's Playground,370
BET GRAND & HESTER STS,Hester St Playground,371
WEST OF HELL GATE BRIDGE,Scylla Playground,0
"E 125 St, Fdr Drive, 1 Ave, (new Street)",Cuvillier Park,3
Fdr Drive & E 103 St,Playground 103 CIII,1
"Fdr Drive, E 60 To E 61 Sts & York Ave",Twenty Four Sycamores Park,8
"W 138 St, Lenox & 5 Aves",Mccray Playground,26
E 115 St Bet 3 & Lexington Aves,James Weldon Johnson Playground,22
E 12 St bet. Aves. A and B,Saucer Park,253
"Essex, Norfolk & Houston Sts",Essex Playground,248
"W Houston St, Ave Of Americas, Macdougal St",William F Passannante Ball Fld,281
"S/s W Houston St, Ave Of Americas",Playground Of The Americas,285
Rutgers & Henry Sts,Capt Jacob Joseph Playground,172
"Houston St, E 1 St, 1 Ave",First Park,238
"Minetta Lane, W 3 St & Ave Of Americas",Minetta Playground,288
"Ave Of Americas, W 3 & W 4 Sts",West 4th Street Courts,277
